Text,Classification
"Re: dylsexics of the wrold, untie!On Thu, 2002-09-12 at 12:22, Dave Long wrote:> <http://www.j-bradford-delong.net/movable_type/archives/000393.html>> > > ... randomising letters in the middle of words [has] little or no> > effect on the ability of skilled readers to understand the text. This> > is easy to denmtrasote. In a pubiltacion of New Scnieitst you could> > ramdinose all the letetrs, keipeng the first two and last two the same,> > and reibadailty would hadrly be aftcfeed. My ansaylis did not come> > to much beucase the thoery at the time was for shape and senqeuce> > retigcionon.  Saberi's work sugsegts we may have some pofrweul palrlael> > prsooscers at work. The resaon for this is suerly that idnetiyfing> > coentnt by paarllel prseocsing speeds up regnicoiton. We only need> > the first and last two letetrs to spot chganes in meniang.I'm working with an experimental text recognition/processing engine thatexhibits similar characteristics.  It can read right throughmisspellings like the above without any difficulty.  And as the authorabove suggested, the pattern matching is inherently parallel internally.If the text recognition algorithm/architecture humans use is anythinglike the algorithm/structure we've been working with, the reason thefirst letter (and to a lesser extent, the last letter) is important isthat without it the text pattern recognition problem is exponentiallymore difficult (from a theoretical standpoint anyway) and has to beresolved using deeper abstraction analysis.  The middle letters are farless important and computationally much easier to resolve correctly.  Cheers,-James Rogers jamesr@best.com",0
"Re: Selling Wedded Bliss (was Re: Ouch...)On Mon, 9 Sep 2002, Eugen Leitl wrote:> On Sun, 8 Sep 2002, CDale wrote:> > > I agree w/ ya Tom.  That kind of thinking is SO idiotic.  Sure, gays> > So how many of your hetero friends had >3 k lovers?None.  How many of my gay friends have had > 3k lovers?  None.> > > are promiscuous, and so are hets, but I betcha gays are more> > AIDSphobic than hets, generally speaking....> > The virus load issue is orthogonal to the fact. Bzzt. Switch on your> brain, you both. I was mentioning that a subpopulation outside of the sex> industry is/used to be extremely promiscuous, about two orders of> magnitude higher than average.two orders of magnitude higher than average isn't 3k, I don't think.  Why don't ya give us a url or something that told you all this stuff?  Or did you just pull it out of your ass?  (:C",0
"Re: sed /s/United States/Roman Empire/g-----BEGIN PGP SIGNED MESSAGE-----Hash: SHA1At 10:32 AM -0400 on 9/21/02, Gary Lawrence Murphy wrote:> Cool --- I wasn't aware that the US had lifted it's population out> of poverty! When did this happen? I wonder where the media gets the> idea that the wealth gap is widening and deepening...All the world loves a smartass...:-).Seriously. Look at he life expectancy and human carrying capacity ofthis continent before the Europeans got here. Look at it now. Evenfor descendants of the original inhabitants. Even for the descendentsof slaves, who were brought here by force.More stuff, cheaper. That's progress.Poverty, of course, is not relative. It's absolute. Disparity inwealth has nothing to do with it.It's like saying that groups have rights, when, in truth, onlyindividuals do. Like group rights, ""disparity"" in wealth isstatistical sophistry.Besides, even if you can't help the distribution, industrial wealthis almost always transitory, and so is relative poverty, even whenthere are no confiscatory death-taxes. The 20th anniversary Forbes400 just came out, and only a few tens of people are still theresince 1982, a time which had significantly higher marginal taxes onwealth, income, and inheritance than we do now. More to the point,they're nowhere near the top.I'll take those odds. It is only when neofeudalism reasserts itself,in the form of government regulation, confiscatory taxes, legislatedmonopoly, corporate welfare, ""non-profit"" neoaristocratic tax dodges,and legalized labor extortion that we get slowdowns in progress, likewhat happened in Fabian-era Britain, or 1970's USA.In fact, it is in countries where wealth is the most ""unfairly""distributed, that you get the most improvement in the general --economic -- welfare. More stuff cheaper, fewer people dying, morepeople living longer.I'll take those odds as well. People take greater risks when thereturns are higher, improving the lot of us all as a result.Cheers,RAH-----BEGIN PGP SIGNATURE-----Version: PGP 7.5iQA/AwUBPYy3ysPxH8jf3ohaEQLqNQCg14YvF8NVYwKiRrghHdisBoNCOn8AoPcRQUzorXeaLe5h3T1syKl7DFNT=9kff-----END PGP SIGNATURE------- -----------------R. A. Hettinga <mailto: rah@ibuc.com>The Internet Bearer Underwriting Corporation <http://www.ibuc.com/>44 Farquhar Street, Boston, MA 02131 USA""... however it may deserve respect for its usefulness and antiquity,[predicting the end of the world] has not been found agreeable toexperience."" -- Edward Gibbon, 'Decline and Fall of the Roman Empire'",0
"[zzzzteana] Moscow bomberMan Threatens Explosion In Moscow Thursday August 22, 2002 1:40 PMMOSCOW (AP) - Security officers on Thursday seized an unidentified man whosaid he was armed with explosives and threatened to blow up his truck infront of Russia's Federal Security Services headquarters in Moscow, NTVtelevision reported.The officers seized an automatic rifle the man was carrying, then the mangot out of the truck and was taken into custody, NTV said. No other detailswere immediately available.The man had demanded talks with high government officials, the Interfax andITAR-Tass news agencies said. Ekho Moskvy radio reported that he wanted totalk with Russian President Vladimir Putin.Police and security forces rushed to the Security Service building, withinblocks of the Kremlin, Red Square and the Bolshoi Ballet, and surrounded theman, who claimed to have one and a half tons of explosives, the newsagencies said. Negotiations continued for about one and a half hours outsidethe building, ITAR-Tass and Interfax reported, citing witnesses.The man later drove away from the building, under police escort, and droveto a street near Moscow's Olympic Penta Hotel, where authorities heldfurther negotiations with him, the Moscow police press service said. Themove appeared to be an attempt by security services to get him to a moresecure location. ------------------------ Yahoo! Groups Sponsor ---------------------~-->4 DVDs Free +s&p Join Nowhttp://us.click.yahoo.com/pt6YBB/NXiEAA/mG3HAA/7gSolB/TM---------------------------------------------------------------------~->To unsubscribe from this group, send an email to:forteana-unsubscribe@egroups.com Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/",0
"RE: Re[2]: Selling Wedded Bliss (was Re: Ouch...)Why should I?  (:COn Fri, 6 Sep 2002, Geege Schuman wrote:> quitcherbraggin.> > :-)> gg> > -----Original Message-----> From: fork-admin@xent.com [mailto:fork-admin@xent.com]On Behalf Of CDale> Sent: Friday, September 06, 2002 3:42 AM> To: bitbitch@magnesium.net> Cc: Adam L. Beberg; fork@spamassassin.taint.org> Subject: Re[2]: Selling Wedded Bliss (was Re: Ouch...)> > > I dunno, BB.  Women who like to be thought of this way should have the> right to choose to be treated this way.  Men too...  ahem.  (:  My boy> cleans, washes clothes, cooks, fixes stuff, etc, and works the same number> of hours I do, sometimes more, if he has to catch up with me.  (:  I> close him because he is industrious and creative, and because he> unfailingly makes my bed the minute I get out of it.  And boy #2 will be> here soon to help boy #1 with other things such as pedicures,  backrubs,> and sure, fucking.  LOL! (along with the aforementioned ""chores"") Adam can> have his cake and eat it too, if he can only find the right girl who has> the same beliefs about gender  roles that he has. Of course, he has NO> clue where to look, so we will be constantly laughing at him while he> stumbles around in the dark.> Cindy> P.S. the numbers do not in any way indicate importance or favor -- only> the order in which they move into my house.  -smiles at chris-> P.S. #2.  I'm moving.   Going to New Orleans.  Can't handle any more cab> driving.  The summer sucked here on the MS Gulf Coast, instead of rocking> like it normally does.  Wish me luck.  I'm going to look for another> computer job.  Le Sigh.  (:> > On Thu, 5 Sep 2002 bitbitch@magnesium.net wrote:> > > Hello Adam,> >> > Thursday, September 05, 2002, 11:33:18 PM, you wrote:> >> >> > ALB> So, you're saying that product bundling works? Good point.> >> > Sometimes I wish I was still in CA.  You deserve a good beating every> > so often...  (anyone else want to do the honors?)> >> > ALB> And how is this any different from ""normal"" marriage exactly? Other> then> > ALB> that the woman not only gets a man, but one in a country where both> she and> > ALB> her offspring will have actual opportunities? Oh and the lack of> > ALB> ""de-feminized, over-sized, self-centered, mercenary-minded"" choices?> >> > Mmkay.  For the nth time Adam, we don't live in the land of> > Adam-fantasy.  Women actually are allowed to do things productive,> > independent and entirely free of their male counterparts.  They aren't> > forced to cook and clean and merely be sexual vessels.   Sometimes,> > and this will come as a shock to you, no doubt, men and women even> > find -love- (which is the crucial distinction between this system) and> > they marry one another for the satisfaction of being together.   I> > know, far-fetched and idealistically crazy as it is, but such things> > do happen.   I can guarantee you, if my mother was approached by my> > father, and 25 years ago, he commented on her cleaning ability as a> > motivator for marrying her, we would not be having this conversation> > now.> >> > If guys still have silly antequated ideas about 'women's role' then> > their opportunities for finding women _will_ be scarce.   Again, these> > situations are great, provided everyone is aware that the relationship> > is a contractual one -- he wants a maid, a dog and a prostitute he> > doesn't have to pay, and she wants a country that isn't impoverished> > and teeming with AIDS.  A contract, versus a true love-interest> > marriage.> >> > Egh.  I really need to stop analyzing your posts to this extent.   I> > blame law school and my cat.> >> > -BB> >> > ALB> - Adam L. ""Duncan"" Beberg> > ALB>   http://www.mithral.com/~beberg/> > ALB>   beberg@mithral.com> >> >> >> >> >> >> > --> ""I don't take no stocks in mathematics, anyway"" --Huckleberry Finn> > > > > -- ""I don't take no stocks in mathematics, anyway"" --Huckleberry Finn",0
"Re: Selling Wedded Bliss (was Re: Ouch...)Gordon Mohr:>It was clear you were talking about averages. But it should >be equally clear that that isn't what people mean when they>use the word ""promiscuity"". Sigh.This sprung out of a report linked by Cindy about the promiscuity offemale monkeys with males other than the alpha male, i.e, specificallynot the tail end of the distribution.  ""By mating with as manyextra-group males as possible, female langurs ensure [etc.]"">OK, then. Consider a population of 1,000,000. 500,000 men each>pair off with 500,000 women. Then, 1 man, let's call him ""Wilt"",>also has sex with the other 499,999 womenThis has never happened.  Its relevance is nil.>Averages are useful, sure -- but much more so if called by their >actual name, rather than conflated with another concept.So I chose not to type ""on average"" explicitly in my post, since thisis FoRK and one tends to assume that people have a clue.There is no disagreement between us, except that I am more interestedin typical behaviour and you in extreme.  Actually, you probably justhad a bad day and felt like jumping down my throat for the hell of it.EOT, AFAIC.R",0
"RE: Re[2]: A moment of silence for the First Amendment (fwd)>> GAB> The problem is that politics have gotten so muddied> GAB> nowadays, that shouting down and unpeaceably disrupting> GAB> political rallies that you don't agree with has become> GAB> common practice.  The courts have constantly ruled> GAB> that there are some restrictions on the first amendment.> GAB> They teach you that your very first year of law school.>> I'll agree with Owen on this one.  Muddied my ass.  How hard is it to> chose between a Republocrat or a Demipublican?   Not very.  Shouting> down has grown to become the answer because the government, over a> span of years, and with the help of the Courts -has- limited the> rights we have as citizens under the First Amendment.Wishful thinking. People are just bigger dickheads now. Culture is changingand it is becoming acceptable to get in peoples face and shout them downwhen you disagree with them.  The people that do this are NOTdisenfranchised. Theyget their rocks off on being disagreeable assholes. The act of protesting ismore important than the actual issue being protested for most of thesepeople.> question the policy about terrorism, or drugs, or Iraq, or Bush in> general, you're aiding terrorism.   If you challenge the beliefs of> the folks attending the various shadowy G8 conferences, you're an> anarchist, and you're herded off to a 'designated protest spot' miles> away from anything.   Part of the point of speech is to be -heard-.> I can scream on my soapbox in the forest somewhere, and while thats> speech, its not effective speech.  People are screaming and shouting> over the political figures because they cannot be  heard in any other> way.And where does this end? Shouting down speakers is an obviously stupidtactic if they are -really- interested in advocating change. Are they suchclueless social morons that they don't see this or are they just interestedin stroking their pathetic egos?OBTW, 'clueless social moron syndrom' does not have political boundaries.Bill",0
"Re: [zzzzteana] That wacky imam> Sheikh Abu Hamza al-Masri, our maddest of mad mullahs and a cartoon bogeyman> to scare the kiddies, spent a quiet and contemplative bank holiday playing> with his own children in Victoria Park, Hackney.For an alternative, and rather more factually based, rundown on Hamza's career, including his belief that all non Muslims in Yemen should be murdered outright:http://memri.org/bin/articles.cgi?Page=archives&Area=ia&ID=IA7201Martin------------------------ Yahoo! Groups Sponsor ---------------------~-->4 DVDs Free +s&p Join Nowhttp://us.click.yahoo.com/pt6YBB/NXiEAA/MVfIAA/7gSolB/TM---------------------------------------------------------------------~->To unsubscribe from this group, send an email to:forteana-unsubscribe@egroups.com Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/",0
"Re: The GOv gets tough on Net Users.....er Pirates..Mike Masnick wrote:>Why is it that people don't understand that giving stuff away is a >perfectly acceptable tactic in capitalist businesses?  In many places, it's >called ""advertising"": ""buy one, get one free""I'll just take the free one, OK?No?Oh, so actually it's not free at all; you're just bundling, with a unitprice half of what's advertised.How about some truth in that advertising?R",0
"Re: Goodbye Global WarmingI've seen articles on this type of stuff passing through various forumsfor several years.  I've always found archaeology interesting for noparticular reason.  Here is a recent article from U.S. News that Iactually still have in the dank recesses of my virtual repository.-James Rogers jamesr@best.com--------------------------------------------http://www.usnews.com/usnews/issue/020916/misc/16meltdown.htmDefrosting the pastAncient human and animal remains are melting out of glaciers, a bountyof a warming worldBY ALEX MARKELSAs he hiked near Colorado's Continental Divide in the summer of 2001, EdKnapp noticed a strange shape jutting from a melting ice field at 13,000feet. ""It looked like a bison skull,"" the building contractor andamateur archaeologist recalls. ""I thought, 'That's strange. Bison don'tlive this high up.' ""Knapp brought the skull to the Denver Museum of Nature and Science,where scientists last month announced that it was indeed from abisonone that died about 340 years ago. ""This was an extraordinarydiscovery,"" says Russ Graham, the museum's chief curator, adding that itcould alter notions of the mountain environment centuries ago. ""There'sprobably a lot more like it yet to be found.""And not just bison. Colorado isn't the only place where glaciers andsnowfields are melting. Decades of unusual warmth in regions from Peruto Alaskaa trend some think is linked to emissions from cars andindustryhave shrunk or thawed many of the world's 70,000 glaciers. Asthe ice recedes, a treasure-trove of human and animal artifacts isemerging, extraordinarily well preserved after centuries in the deepfreeze. The fabrics, wood, bone, and DNA-rich tissue found on the muckyfringes of the ice are revising scientists' understanding of ourpredecessors' health, habits, and technology, and the prey they pursued.""It's mind-boggling how many different fields are being advanced throughstudying these remains,"" says Johan Reinhard, a high-altitudearchaeologist and explorer-in-residence at the National GeographicSociety. Rare, spectacular finds like the frozen mummies he discoveredin the Andes of Peru in the 1990s and the legendary 5,300-year-old ""IceMan,"" found at the edge of a receding glacier in the Alps in 1991, haveoffered time capsules of cultural and biological information. Now, asthe ice continues to retreat, it is yielding not just occasionaltreasures but long records of humans and animals in the high mountains.Vanishing act. The trick is finding such specimens before MotherNatureand looterstake them first. Once uncovered, frozen remains candeteriorate within hours or be gnawed by animals. Moreover, they'reoften so well preserved when they emerge that people who come upon themdon't even realize they're ancient.That was the case when three men hunting sheep near a high glacier inBritish Columbia, Canada, three years ago saw what they thought was adead animal. ""It looked a little like sealskin buried in the ice,""recalls Warren Ward, a teacher from nearby Nelson. ""But when I lookedcloser I could see leather fringe from a coat and finger bones.""Figuring they had found the remains of another hunter, or perhaps a furtrapper, the men stowed a flint knife and other artifacts in a Zip-Locbag and delivered them to local officials. Archaeologists later exhumedthe fallen hunter's body, along with a woven hat, fur clothing, and whatseemed to be a medicine bag. Carbon dating revealed that the hunterlived about 550 years ago. Dubbed Kwaday Dan Ts'inchi, or Long AgoPerson Found, by people of the Champagne and Aishihik First Nations (whomay be his direct descendants), he is perhaps the best-preserved humanfrom the period ever found in North America.Other findings from melting ice in the neighboring Yukon region couldexplain what that long-ago person was doing in the mountains in thefirst place. ""Before this there was no archaeological record of peopleliving here,"" says Greg Hare, a Yukon government archaeologist. ""Now wesee that this area was very much part of people's seasonal activities.""Like Ward's discovery, the search began by chance, when Kristin Benedekcaught a whiff of what smelled like a barnyard as she and her husband,Gerry Kuzyk, hunted sheep at 6,000 feet in the mountains of the southYukon. They followed the scent to a melting patch of ice covered incaribou dung. ""It was really odd, because I knew there hadn't beencaribou in the area for at least 100 years,"" recalls Kuzyk, then awildlife biologist with the Yukon government.Caribou cake. Returning a week later, he found ""what looked like apencil with string wrapped around it."" It turned out to be a4,300-year-old atlatl, or spear thrower. Further investigation of theice patchand scores of others around the regionrevealed icy layercakes filled with caribou remains and human detritus chronicling 7,800years of changing hunting practices.Scientists now believe ancient caribou and other animals flocked to theice each summer to cool down and escape swarming mosquitoes and flies.Hunters followed the game. They returned for centuries and discardedsome equipment in the ice. ""We've got people hunting with throwing dartsup until 1,200 years ago,"" says Hare, who now oversees the researchproject. ""Then we see the first appearance of the bow and arrow about1,300 years ago. And by 1,200 years ago, there's no more throwingdarts.""Now scientists are trying to make the search less a matter of luck. Theyare developing sophisticated computer models that combine data on whereglaciers are melting fastest and where humans and animals are known tohave migrated to pinpoint the best places to search in Alaska's Wrangelland St. Elias mountain rangesthe United States' most glaciatedterrainand in the Andes. Johan Reinhard thinks the fast- thawingEuropean Alps could also deliver more findings, perhaps as exquisite asthe Ice Man. ""Global warming is providing us high-altitudearchaeologists with some fantastic opportunities right now. We'reprobably about the only ones happy about it.""",0
